City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Keetmanshoop,-26.5833,18.1333,40.73,76,22,15.23,NA,2022-09-19 03:05:10
94,Boende,-0.2167,20.8667,70.59,98,100,1.39,CD,2022-09-19 03:05:11
95,Cabo San Lucas,22.8909,-109.9124,85.51,73,100,9.04,MX,2022-09-19 03:03:44
96,Pont-Saint-Esprit,44.2549,4.6474,59.13,54,4,11.97,FR,2022-09-19 03:05:12
97,Cidreira,-30.1811,-50.2056,62.42,78,100,22.35,BR,2022-09-19 03:05:12
98,Colares,38.7992,-9.4469,72.79,87,77,13.0,PT,2022-09-19 03:05:13
99,Arraial Do Cabo,-22.9661,-42.0278,65.88,74,1,2.44,BR,2022-09-19 03:00:34
100,Port Alfred,-33.5906,26.891,53.19,95,100,3.0,ZA,2022-09-19 03:05:13
101,Mayumba,-3.432,10.6554,74.46,90,100,8.72,GA,2022-09-19 03:05:14
102,Birao,10.2849,22.7882,69.96,95,25,0.4,CF,2022-09-19 03:05:14
103,Yellowknife,62.456,-114.3525,50.56,81,100,4.0,CA,2022-09-19 03:01:34
104,Aitape,-3.1374,142.3475,84.4,70,26,6.38,PG,2022-09-19 03:05:15
105,Upernavik,72.7868,-56.1549,35.92,73,100,1.99,GL,2022-09-19 03:05:03
106,Luganville,-15.5333,167.1667,81.19,80,58,14.9,VU,2022-09-19 03:01:17
107,Miles City,46.4083,-105.8406,71.2,37,82,5.75,US,2022-09-19 03:01:09
108,Zarate,-34.0981,-59.0286,56.84,91,68,1.99,AR,2022-09-19 03:00:34
109,Bambous Virieux,-20.3428,57.7575,72.21,75,15,15.61,MU,2022-09-19 03:05:16
110,Bemidji,47.4736,-94.8803,60.91,93,0,0.0,US,2022-09-19 03:00:28
111,Teeli,51.0333,90.2333,51.35,39,0,2.8,RU,2022-09-19 03:05:17
112,Georgetown,5.4112,100.3354,87.73,62,20,1.14,MY,2022-09-19 03:05:17
113,Paris,48.8534,2.3488,53.11,82,20,4.61,FR,2022-09-19 03:03:06
114,Provideniya,64.3833,-173.3,42.91,100,100,8.99,RU,2022-09-19 03:05:18
115,Cherskiy,68.75,161.3,37.81,53,86,5.26,RU,2022-09-19 03:05:19
116,Souillac,-20.5167,57.5167,69.85,78,5,14.81,MU,2022-09-19 03:01:28
117,Morant Bay,17.8815,-76.4093,83.82,80,5,7.07,JM,2022-09-19 03:05:19
118,Tuatapere,-46.1333,167.6833,58.78,65,99,4.97,NZ,2022-09-19 03:05:20
119,New Norfolk,-42.7826,147.0587,59.72,68,62,5.99,AU,2022-09-19 03:04:50
120,Hasaki,35.7333,140.8333,88.29,83,67,20.33,JP,2022-09-19 03:05:21
121,Longyearbyen,78.2186,15.6401,26.44,80,40,6.91,SJ,2022-09-19 03:01:02
122,Seshcha,53.7361,33.3387,44.73,95,100,21.32,RU,2022-09-19 03:05:22
123,Lagoa,39.05,-27.9833,72.73,88,6,8.19,PT,2022-09-19 03:05:22
124,Hithadhoo,-0.6,73.0833,81.9,74,99,7.58,MV,2022-09-19 03:05:23
125,Ribeira Grande,38.5167,-28.7,73.8,88,11,0.81,PT,2022-09-19 03:05:23
126,Alofi,-19.0595,-169.9187,77.02,78,8,19.1,NU,2022-09-19 03:05:24
127,Kudahuvadhoo,2.6708,72.8944,81.84,69,99,6.91,MV,2022-09-19 03:05:24
128,Luderitz,-26.6481,15.1594,52.47,80,48,11.05,NA,2022-09-19 03:05:25
129,Pimentel,-6.8367,-79.9342,63.57,89,85,12.53,PE,2022-09-19 03:05:25
130,Hilo,19.7297,-155.09,81.28,87,100,4.0,US,2022-09-19 03:05:26
131,Tuktoyaktuk,69.4541,-133.0374,42.94,81,93,1.43,CA,2022-09-19 03:05:26
132,Thunder Bay,48.4001,-89.3168,56.93,94,91,5.99,CA,2022-09-19 03:03:35
133,Hovd,48.0056,91.6419,50.85,32,0,1.81,MN,2022-09-19 03:06:27
134,Butaritari,3.0707,172.7902,82.33,73,13,19.62,KI,2022-09-19 03:06:28
135,Seoul,37.5683,126.9778,83.59,55,100,12.86,KR,2022-09-19 03:04:58
136,Nikolskoye,59.7035,30.7861,50.79,96,100,4.79,RU,2022-09-19 03:06:28
137,Broken Hill,-31.95,141.4333,65.12,38,3,6.13,AU,2022-09-19 03:06:29
138,Castro,-24.7911,-50.0119,48.69,97,11,7.67,BR,2022-09-19 03:06:29
139,Hay River,60.8156,-115.7999,51.03,72,100,5.28,CA,2022-09-19 03:05:41
140,Enshi,30.3,109.4833,71.56,86,100,3.85,CN,2022-09-19 03:06:30
141,Jamestown,42.097,-79.2353,69.71,64,0,6.91,US,2022-09-19 03:05:37
142,Paamiut,61.994,-49.6678,42.66,94,100,2.89,GL,2022-09-19 03:06:30
143,San Jeronimo,-11.9472,-75.2829,51.39,71,100,5.03,PE,2022-09-19 03:06:31
144,Saldanha,-33.0117,17.9442,55.76,66,6,21.56,ZA,2022-09-19 03:06:31
145,Brae,60.3964,-1.353,46.56,70,43,8.81,GB,2022-09-19 03:06:32
146,Port Elizabeth,-33.918,25.5701,55.31,90,100,4.0,ZA,2022-09-19 03:06:32
147,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,58,0,15.66,RU,2022-09-19 03:06:33
148,Faanui,-16.4833,-151.75,78.67,73,8,18.25,PF,2022-09-19 03:06:34
149,Ketchikan,55.3422,-131.6461,57.67,67,0,9.22,US,2022-09-19 03:06:34
150,Okhotsk,59.3833,143.3,43.81,90,100,34.36,RU,2022-09-19 03:06:34
151,Toora-Khem,52.4675,96.11,52.81,50,4,2.35,RU,2022-09-19 03:06:35
152,Sandwick,60.0,-1.25,46.22,81,40,5.75,GB,2022-09-19 03:06:35
153,Tanabe,33.7333,135.3667,79.81,93,100,27.02,JP,2022-09-19 03:06:36
154,Vao,-22.6667,167.4833,73.04,74,0,14.12,NC,2022-09-19 03:06:36
155,Kaseda,31.4167,130.3167,78.17,90,100,25.23,JP,2022-09-19 03:06:37
156,Chulman,56.8479,124.9104,33.64,51,100,16.28,RU,2022-09-19 03:06:37
157,Narsaq,60.9167,-46.05,57.42,72,91,3.0,GL,2022-09-19 03:06:38
158,Ust-Nera,64.5667,143.2,40.95,70,100,3.47,RU,2022-09-19 03:06:38
159,Angoche,-16.2325,39.9086,69.13,92,0,7.72,MZ,2022-09-19 03:02:14
160,Lamu,-2.2717,40.902,77.22,87,24,12.46,KE,2022-09-19 03:06:39
161,Kibala,9.1104,18.3463,69.33,97,96,0.34,TD,2022-09-19 03:06:40
162,Cannes,43.55,7.0167,65.19,75,0,3.44,FR,2022-09-19 03:06:13
163,Marisel,46.65,23.1333,36.23,90,68,5.68,RO,2022-09-19 03:06:40
164,Dera Gopipur,31.9,76.2167,78.19,69,0,3.29,IN,2022-09-19 03:06:41
165,Sarany,58.5,58.8833,49.17,75,100,4.16,RU,2022-09-19 03:06:41
166,Ilulissat,69.2167,-51.1,37.42,100,100,6.91,GL,2022-09-19 03:06:42
167,Araouane,18.9048,-3.5265,83.48,55,89,13.27,ML,2022-09-19 03:06:42
168,Bubaque,11.2833,-15.8333,80.24,79,100,14.0,GW,2022-09-19 03:06:42
169,Traverse City,44.7631,-85.6206,73.51,80,0,6.91,US,2022-09-19 03:06:43
170,Garissa,-0.4536,39.6401,73.49,85,69,13.94,KE,2022-09-19 03:06:43
171,Chuy,-33.6971,-53.4616,58.42,86,100,10.27,UY,2022-09-19 03:06:44
172,Ponta Do Sol,32.6667,-17.1,73.0,88,49,4.36,PT,2022-09-19 03:06:10
173,Clyde River,70.4692,-68.5914,35.83,100,100,13.8,CA,2022-09-19 03:06:44
174,Mortka,59.3322,66.0214,49.91,76,98,4.7,RU,2022-09-19 03:06:45
175,Gisborne,-38.6533,178.0042,63.0,64,59,7.25,NZ,2022-09-19 03:06:45
176,Ostrovnoy,68.0531,39.5131,47.5,97,100,6.73,RU,2022-09-19 03:06:46
